,Topics,Alpha,Beta,Coherence,Topic Diversity
273,10,0.01,0.9099999999999999,0.42498641858274927,0.92
286,10,0.9099999999999999,0.31,0.42648522737507905,0.92
287,10,0.9099999999999999,0.61,0.40762102419517515,0.92
296,10,asymmetric,0.31,0.4180327642658323,0.92
297,10,asymmetric,0.61,0.4113634535576399,0.92
452,16,0.01,0.61,0.40963664499744,0.91875
475,16,asymmetric,0.01,0.42229049684272235,0.91875
310,11,0.61,0.01,0.4163112921582004,0.9181818181818182
327,11,asymmetric,0.61,0.41726760671072366,0.9181818181818182
321,11,symmetric,0.31,0.42876746631358836,0.9181818181818182
319,11,0.9099999999999999,symmetric,0.4284164786391871,0.9181818181818182
313,11,0.61,0.9099999999999999,0.4433097461351267,0.9181818181818182
308,11,0.31,0.9099999999999999,0.4447875364187025,0.9181818181818182
307,11,0.31,0.61,0.4399569231974501,0.9181818181818182
303,11,0.01,0.9099999999999999,0.4455353869873597,0.9181818181818182
496,17,0.9099999999999999,0.31,0.4217470920909254,0.9176470588235294
508,17,asymmetric,0.9099999999999999,0.4364061408553736,0.9176470588235294
494,17,0.61,symmetric,0.4315583484113758,0.9176470588235294
534,18,symmetric,symmetric,0.4381078477800817,0.9166666666666666
525,18,0.9099999999999999,0.01,0.4317501414701579,0.9166666666666666
529,18,0.9099999999999999,symmetric,0.4261321355018002,0.9166666666666666
522,18,0.61,0.61,0.4219115990550668,0.9166666666666666
521,18,0.61,0.31,0.41922793373268774,0.9166666666666666
519,18,0.31,symmetric,0.4494730883036337,0.9166666666666666
511,18,0.01,0.31,0.43897087337358154,0.9166666666666666
348,12,0.9099999999999999,0.9099999999999999,0.4006015484234627,0.9166666666666666
332,12,0.01,0.61,0.39441930133108677,0.9166666666666666
346,12,0.9099999999999999,0.31,0.4427504530704243,0.9166666666666666
343,12,0.61,0.9099999999999999,0.41171580211474973,0.9166666666666666
352,12,symmetric,0.61,0.3893866220527924,0.9166666666666666
540,19,0.01,0.01,0.44032706681973094,0.9157894736842105
565,19,asymmetric,0.01,0.43335327564634246,0.9157894736842105
554,19,0.61,symmetric,0.429772025603752,0.9157894736842105
377,13,0.9099999999999999,0.61,0.4486203995414081,0.9153846153846154
366,13,0.31,0.31,0.4452063115199113,0.9153846153846154
597,20,asymmetric,0.61,0.4679105172979298,0.915
585,20,0.9099999999999999,0.01,0.4394190370596508,0.915
577,20,0.31,0.61,0.4638482680931447,0.915
395,14,0.31,0.01,0.42285596901130423,0.9142857142857143
414,14,symmetric,symmetric,0.4340292812547875,0.9142857142857143
187,7,0.31,0.61,0.39840082262978777,0.9142857142857143
394,14,0.01,symmetric,0.4331378977078722,0.9142857142857143
426,15,0.31,0.31,0.4484228345681254,0.9133333333333333
441,15,symmetric,0.31,0.46137185343643433,0.9133333333333333
447,15,asymmetric,0.61,0.4748218466972534,0.9133333333333333
444,15,symmetric,symmetric,0.44574628251712956,0.9133333333333333
430,15,0.61,0.01,0.4428240824013087,0.9133333333333333
420,15,0.01,0.01,0.4292175067746567,0.9133333333333333
479,16,asymmetric,symmetric,0.42522322425396397,0.9125
