Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
4,asymmetric,symmetric,0.36379112542186454,0.925,0.33650679101522474
4,asymmetric,0.31,0.36379112542186454,0.925,0.33650679101522474
5,0.9099999999999999,0.9099999999999999,0.35789502719455496,0.94,0.3364213255628816
10,0.61,0.01,0.3537806037680882,0.95,0.3360915735796838
10,0.01,0.01,0.3537069292604408,0.95,0.3360215827974187
18,symmetric,0.01,0.35762831353647767,0.9388888888888889,0.3357732499314707
5,symmetric,0.61,0.35715062086254135,0.94,0.33572158361078885
9,0.01,0.61,0.37287650674861844,0.9,0.3355888560737566
2,0.9099999999999999,0.31,0.3354334399244875,1.0,0.3354334399244875
2,0.01,0.01,0.3354334399244875,1.0,0.3354334399244875
2,0.01,0.31,0.3354334399244875,1.0,0.3354334399244875
2,0.31,0.01,0.3354334399244875,1.0,0.3354334399244875
2,0.61,0.01,0.3354334399244875,1.0,0.3354334399244875
2,0.61,0.31,0.3354334399244875,1.0,0.3354334399244875
2,0.31,0.31,0.3354334399244875,1.0,0.3354334399244875
2,symmetric,0.01,0.3354334399244875,1.0,0.3354334399244875
2,symmetric,0.31,0.3354334399244875,1.0,0.3354334399244875
2,asymmetric,0.31,0.3354334399244875,1.0,0.3354334399244875
8,asymmetric,0.61,0.3675677602361091,0.9125,0.33540558121544956
18,0.01,symmetric,0.36143993454537804,0.9277777777777778,0.3353359392726563
9,asymmetric,0.61,0.3588478312594508,0.9333333333333333,0.33492464250882076
10,0.01,0.31,0.3525084470210919,0.95,0.3348830246700373
8,0.31,0.61,0.36192801434365857,0.925,0.3347834132678842
14,0.01,0.01,0.3574939375166755,0.9357142857142857,0.33451218439060354
5,0.9099999999999999,0.31,0.3557799427627156,0.94,0.33443314619695264
11,0.61,0.01,0.343704205021028,0.9727272727272728,0.334330453975
9,0.31,0.9099999999999999,0.3624425844430366,0.9222222222222223,0.33425260565302267
14,0.61,symmetric,0.3684184621522261,0.9071428571428571,0.33420817638094796
11,0.01,0.61,0.356920121068198,0.9363636363636364,0.3342070224547672
3,0.01,0.9099999999999999,0.3340412225089775,1.0,0.3340412225089775
11,0.01,0.31,0.3566248221646993,0.9363636363636364,0.333930515299673
4,0.01,0.01,0.36098805346563445,0.925,0.3339139494557119
4,0.31,0.31,0.36065822455854646,0.925,0.3336088577166555
9,0.31,0.61,0.3661558717078212,0.9111111111111111,0.33360868311157044
10,0.01,symmetric,0.3474252417826202,0.96,0.3335282321113154
9,0.9099999999999999,0.31,0.36591648738449023,0.9111111111111111,0.33339057739475775
9,symmetric,0.61,0.3703737744563809,0.9,0.33333639701074286
4,0.9099999999999999,0.9099999999999999,0.36033225854143236,0.925,0.33330733915082494
9,asymmetric,0.31,0.36141457615276185,0.9222222222222223,0.3333045535631026
8,symmetric,0.9099999999999999,0.3652467768785219,0.9125,0.33328768390165125
5,asymmetric,0.01,0.35451318243593233,0.94,0.33324239148977636
11,symmetric,symmetric,0.35239684362114726,0.9454545454545454,0.33317519760544834
5,asymmetric,0.31,0.35443712882591105,0.94,0.3331709010963564
9,0.61,0.61,0.36565404570900445,0.9111111111111111,0.33315146386820405
3,0.61,0.61,0.3331140700635589,1.0,0.3331140700635589
3,0.31,0.9099999999999999,0.3331140700635589,1.0,0.3331140700635589
3,symmetric,0.9099999999999999,0.3331140700635589,1.0,0.3331140700635589
17,0.61,0.01,0.3583961685943081,0.9294117647058824,0.33309761551706285
10,symmetric,0.31,0.3543098074955035,0.94,0.3330512190457733
4,0.61,symmetric,0.3598404407005069,0.925,0.3328524076479689
4,0.61,0.31,0.3598404407005069,0.925,0.3328524076479689
18,0.01,0.01,0.35662221932982846,0.9333333333333333,0.3328474047078399
8,symmetric,0.61,0.3645433344419346,0.9125,0.33264579267826533
11,0.31,symmetric,0.34822547510550156,0.9545454545454546,0.33239704441888784
5,asymmetric,0.61,0.3532917501357985,0.94,0.33209424512765057
14,symmetric,symmetric,0.3600324870659451,0.9214285714285714,0.3317442202250494
4,symmetric,0.01,0.35860828383389654,0.925,0.3317126625463543
4,0.31,0.01,0.35860828383389654,0.925,0.3317126625463543
9,0.31,0.31,0.35966176229538355,0.9222222222222223,0.33168806967240927
17,asymmetric,0.01,0.36140014100137907,0.9176470588235294,0.3316377764483243
14,symmetric,0.01,0.35672054030168665,0.9285714285714286,0.33124050170870906
10,0.9099999999999999,0.61,0.34863075083533634,0.95,0.3311992132935695
5,0.9099999999999999,0.61,0.35226821611222736,0.94,0.33113212314549373
8,0.31,0.9099999999999999,0.3627925147203583,0.9125,0.3310481696823269
11,0.61,symmetric,0.3433956216931405,0.9636363636363636,0.3309085081770263
10,asymmetric,symmetric,0.34107751664023567,0.97,0.33084519114102856
8,asymmetric,0.9099999999999999,0.3623247916761566,0.9125,0.3306213724044929
15,0.01,0.01,0.349096334268087,0.9466666666666667,0.33047786310712235
10,symmetric,0.61,0.3474751780288478,0.95,0.3301014191274054
19,0.01,0.01,0.36019008220693055,0.9157894736842105,0.32985828581055743
11,0.9099999999999999,0.01,0.34229257729995005,0.9636363636363636,0.3298455744890428
18,0.9099999999999999,0.31,0.36832883046227893,0.8944444444444445,0.3294496761357051
11,0.9099999999999999,symmetric,0.3418102524520899,0.9636363636363636,0.32938078872655935
4,0.31,symmetric,0.3553104499286346,0.925,0.328662166183987
17,0.31,0.31,0.3651770918599315,0.9,0.3286593826739384
16,0.9099999999999999,symmetric,0.34594717294659627,0.95,0.32864981429926643
11,symmetric,0.31,0.357922711471623,0.9181818181818182,0.32863812598758113
11,symmetric,0.01,0.3408588849394925,0.9636363636363636,0.32846401639623823
10,0.9099999999999999,0.9099999999999999,0.35290866608661536,0.93,0.3282050594605523
17,asymmetric,symmetric,0.36682816508744637,0.8941176470588236,0.32798753584289325
